No.,Q. 過去形にしなさい,No.,Q. 過去形 (-d / -ied / 重ねる),No.,Q. 文を過去形にしなさい
1,play → ( ),101,like → ( ),201,I ( play ) tennis. → ( played )
2,watch → ( ),102,live → ( ),202,You ( play ) guitar. → ( )
3,cook → ( ),103,use → ( ),203,He ( play ) baseball. → ( )
4,walk → ( ),104,hope → ( ),204,She ( play ) games. → ( )
5,listen → ( ),105,love → ( ),205,We ( play ) soccer. → ( )
6,look → ( ),106,dance → ( ),206,They ( play ) cards. → ( )
7,want → ( ),107,smile → ( ),207,I ( watch ) TV. → ( )
8,talk → ( ),108,move → ( ),208,You ( watch ) a movie. → ( )
9,help → ( ),109,arrive → ( ),209,He ( watch ) the game. → ( )
10,visit → ( ),110,close → ( ),210,She ( watch ) YouTube. → ( )
11,clean → ( ),111,invite → ( ),211,We ( cook ) dinner. → ( )
12,wash → ( ),112,bake → ( ),212,They ( cook ) lunch. → ( )
13,open → ( ),113,practice → ( ),213,I ( walk ) to school. → ( )
14,start → ( ),114,change → ( ),214,You ( walk ) in the park. → ( )
15,finish → ( ),115,save → ( ),215,He ( listen ) to music. → ( )
16,enjoy → ( ),116,believe → ( ),216,She ( listen ) to the radio. → ( )
17,stay → ( ),117,receive → ( ),217,We ( look ) at the picture. → ( )
18,call → ( ),118,decide → ( ),218,They ( look ) at the stars. → ( )
19,wait → ( ),119,die → ( ),219,I ( want ) a new bike. → ( )
20,rain → ( ),120,like → ( ),220,You ( want ) some water. → ( )
21,show → ( ),121,study → ( ),221,He ( talk ) with his friend. → ( )
22,answer → ( ),122,try → ( ),222,She ( talk ) to the teacher. → ( )
23,play → ( ),123,cry → ( ),223,We ( help ) our mother. → ( )
24,watch → ( ),124,carry → ( ),224,They ( help ) each other. → ( )
25,cook → ( ),125,dry → ( ),225,I ( visit ) Kyoto. → ( )
26,walk → ( ),126,fry → ( ),226,You ( visit ) your uncle. → ( )
27,listen → ( ),127,worry → ( ),227,He ( clean ) his room. → ( )
28,look → ( ),128,hurry → ( ),228,She ( clean ) the house. → ( )
29,want → ( ),129,marry → ( ),229,We ( wash ) the dishes. → ( )
30,talk → ( ),130,study → ( ),230,They ( wash ) the car. → ( )
31,help → ( ),131,stop → ( ),231,I ( open ) the door. → ( )
32,visit → ( ),132,drop → ( ),232,You ( open ) the window. → ( )
33,clean → ( ),133,plan → ( ),233,He ( start ) the work. → ( )
34,wash → ( ),134,shop → ( ),234,She ( start ) the meeting. → ( )
35,open → ( ),135,hop → ( ),235,We ( finish ) homework. → ( )
36,start → ( ),136,jog → ( ),236,They ( finish ) lunch. → ( )
37,finish → ( ),137,step → ( ),237,I ( enjoy ) the party. → ( )
38,enjoy → ( ),138,clap → ( ),238,You ( enjoy ) the trip. → ( )
39,stay → ( ),139,stop → ( ),239,He ( stay ) at a hotel. → ( )
40,call → ( ),140,drop → ( ),240,She ( stay ) home. → ( )
41,wait → ( ),141,live → ( ),241,I ( use ) a computer. → ( )
42,rain → ( ),142,use → ( ),242,You ( use ) a pen. → ( )
43,show → ( ),143,study → ( ),243,He ( like ) English. → ( )
44,answer → ( ),144,try → ( ),244,She ( like ) cats. → ( )
45,need → ( ),145,stop → ( ),245,We ( live ) in Osaka. → ( )
46,thank → ( ),146,plan → ( ),246,They ( live ) near here. → ( )
47,ask → ( ),147,play → ( ),247,I ( hope ) so. → ( )
48,work → ( ),148,stay → ( ),248,You ( hope ) for peace. → ( )
49,learn → ( ),149,enjoy → ( ),249,He ( love ) music. → ( )
50,touch → ( ),150,pray → ( ),250,She ( love ) flowers. → ( )
51,jump → ( ),151,visit → ( ),251,We ( arrive ) at the station. → ( )
52,kick → ( ),152,listen → ( ),252,They ( arrive ) at school. → ( )
53,paint → ( ),153,open → ( ),253,I ( smile ) at him. → ( )
54,brush → ( ),154,look → ( ),254,You ( smile ) nicely. → ( )
55,climb → ( ),155,like → ( ),255,He ( study ) math. → ( )
56,camp → ( ),156,live → ( ),256,She ( study ) hard. → ( )
57,play → ( ),157,study → ( ),257,We ( study ) history. → ( )
58,watch → ( ),158,stop → ( ),258,They ( study ) Japanese. → ( )
59,cook → ( ),159,cry → ( ),259,I ( try ) natto. → ( )
60,walk → ( ),160,smile → ( ),260,You ( try ) hard. → ( )
61,listen → ( ),161,watch → ( ),261,He ( cry ) yesterday. → ( )
62,look → ( ),162,wash → ( ),262,She ( cry ) a lot. → ( )
63,want → ( ),163,use → ( ),263,We ( carry ) the box. → ( )
64,talk → ( ),164,try → ( ),264,They ( carry ) the bags. → ( )
65,help → ( ),165,plan → ( ),265,I ( stop ) the car. → ( )
66,visit → ( ),166,cook → ( ),266,You ( stop ) talking. → ( )
67,clean → ( ),167,close → ( ),267,He ( drop ) the ball. → ( )
68,wash → ( ),168,carry → ( ),268,She ( drop ) the cup. → ( )
69,open → ( ),169,drop → ( ),269,We ( plan ) a trip. → ( )
70,start → ( ),170,help → ( ),270,They ( plan ) a party. → ( )
71,finish → ( ),171,hope → ( ),271,It ( rain ) hard. → ( )
72,enjoy → ( ),172,worry → ( ),272,It ( snow ) last night. → ( )
73,stay → ( ),173,walk → ( ),273,It ( stop ) raining. → ( )
74,call → ( ),174,wait → ( ),274,I ( call ) Ken. → ( )
75,wait → ( ),175,arrive → ( ),275,You ( call ) me. → ( )
76,rain → ( ),176,answer → ( ),276,He ( wait ) for the bus. → ( )
77,touch → ( ),177,clean → ( ),277,She ( wait ) for me. → ( )
78,need → ( ),178,change → ( ),278,We ( practice ) soccer. → ( )
79,work → ( ),179,start → ( ),279,They ( practice ) dancing. → ( )
80,ask → ( ),180,save → ( ),280,I ( remember ) the story. → ( )
81,happen → ( ),181,finish → ( ),281,You ( remember ) the song. → ( )
82,remember → ( ),182,fry → ( ),282,He ( invite ) me. → ( )
83,turn → ( ),183,practice → ( ),283,She ( invite ) us. → ( )
84,sound → ( ),184,paint → ( ),284,We ( touch ) the dog. → ( )
85,miss → ( ),185,dance → ( ),285,They ( touch ) the screen. → ( )
86,pass → ( ),186,decide → ( ),286,I ( need ) help. → ( )
87,mix → ( ),187,hurry → ( ),287,You ( need ) time. → ( )
88,fix → ( ),188,happen → ( ),288,He ( ask ) a question. → ( )
89,snow → ( ),189,remember → ( ),289,She ( ask ) for help. → ( )
90,pull → ( ),190,return → ( ),290,We ( work ) hard. → ( )
91,push → ( ),191,move → ( ),291,They ( work ) together. → ( )
92,check → ( ),192,miss → ( ),292,I ( thank ) him. → ( )
93,pick → ( ),193,mix → ( ),293,You ( thank ) her. → ( )
94,plant → ( ),194,touch → ( ),294,He ( learn ) English. → ( )
95,return → ( ),195,turn → ( ),295,She ( learn ) about it. → ( )
96,join → ( ),196,talk → ( ),296,The bus ( stop ) here. → ( )
97,discover → ( ),197,thank → ( ),297,The movie ( start ) at 5. → ( )
98,pray → ( ),198,love → ( ),298,The store ( open ) at 10. → ( )
99,play → ( ),199,learn → ( ),299,The store ( close ) at 8. → ( )
100,enjoy → ( ),200,listen → ( ),300,The rain ( stop ). → ( )
